id,river_section_id,wtype,feat_type,name,name_ascii,macronated,length_m
472721,7214821,other,river_cl,,,N,446.3
469567,6999502,other,river_cl,,,N,446.2
469960,7214175,other,river_cl,Mahers Stream,Mahers Stream,N,446.0
469860,7214078,other,river_cl,,,N,445.9
472427,7214274,other,river_cl,,,N,445.9
470084,7213767,other,river_cl,,,N,445.9
469536,7213654,other,river_cl,,,N,445.9
469298,6999191,other,river_cl,,,N,445.8
469918,7214136,other,river_cl,,,N,445.8
430739,7214461,other,river_cl,,,N,445.7
469085,7212638,other,river_cl,,,N,445.5
469543,7213663,other,river_cl,,,N,445.5
470112,7213795,other,river_cl,,,N,445.4
468806,7212390,other,river_cl,Greens Stream,Greens Stream,N,445.3
469213,7396438,other,river_cl,,,N,445.2
469260,7213097,other,river_cl,Sinclair Creek,Sinclair Creek,N,445.2
470350,7214402,other,river_cl,,,N,445.2
508152,7225260,other,river_cl,,,N,445.1
468704,7705340,other,river_cl,,,N,444.9
469659,7213543,other,river_cl,,,N,444.9
470508,7214566,other,river_cl,,,N,444.9
430840,7214615,other,river_cl,,,N,444.7
472742,7214841,other,river_cl,,,N,444.7
469557,7213445,other,river_cl,,,N,444.7
469685,7213568,other,river_cl,,,N,444.5
470448,7397055,other,river_cl,,,N,444.5
469816,7214039,other,river_cl,,,N,444.4
472447,7214297,other,river_cl,,,N,444.4
470384,7214386,other,river_cl,,,N,444.3
470009,7213694,other,river_cl,,,N,444.0
479218,7225115,other,river_cl,,,N,443.9
468429,7212236,other,river_cl,,,N,443.9
470146,8171193,other,river_cl,,,N,443.9
468957,7212492,other,river_cl,,,N,443.8
470088,7213760,other,river_cl,,,N,443.8
470323,7397000,other,river_cl,,,N,443.6
479121,7008621,other,river_cl,,,N,443.3
481479,7214459,other,river_cl,,,N,442.9
468645,7641426,other,river_cl,,,N,442.9
470176,7213863,other,river_cl,,,N,442.9
481336,7213761,other,river_cl,,,N,442.8
470414,7214469,other,river_cl,,,N,442.6
479120,7225024,other,river_cl,,,N,442.5
468625,7641402,other,river_cl,,,N,442.4
469876,7214095,other,river_cl,,,N,442.3
470587,7000344,other,river_cl,,,N,442.3
470367,7214422,other,river_cl,,,N,442.2
472845,7214953,other,river_cl,,,N,442.0
469752,6999644,other,river_cl,,,N,442.0
497918,7225253,other,river_cl,,,N,441.8
468685,7212269,other,river_cl,,,N,441.8
469611,7213499,other,river_cl,,,N,441.7
470085,7396714,other,river_cl,,,N,441.6
429726,6998776,other,river_cl,,,N,441.4
470600,7214655,other,river_cl,Deadwood Stream,Deadwood Stream,N,441.2
480641,7641606,other,river_cl,,,N,441.2
430284,7213616,other,river_cl,,,N,441.2
470491,7214542,other,river_cl,,,N,441.2
469903,7214119,other,river_cl,,,N,441.1
469185,7213020,other,river_cl,,,N,441.1
432811,7214501,other,river_cl,,,N,441.0
470134,7396737,other,river_cl,Wainui Stream,Wainui Stream,N,441.0
470257,7213936,other,river_cl,,,N,441.0
469895,7214110,other,river_cl,,,N,440.6
470574,7214622,other,river_cl,,,N,440.2
497957,7225282,other,river_cl,,,N,440.0
469723,7213610,other,river_cl,Pāuatahanui Stream,Pauatahanui Stream,Y,439.8
472604,7214702,other,river_cl,,,N,439.7
470348,7214401,other,river_cl,,,N,439.6
468465,7641233,other,river_cl,,,N,439.4
469718,7213602,other,river_cl,,,N,439.4
469115,7212669,other,river_cl,Skull Gully Stream,Skull Gully Stream,N,439.0
470158,7213842,other,river_cl,,,N,438.4
20882,6786300,other,drain_cl,,,N,438.1
470544,7214597,other,river_cl,,,N,437.9
498043,7225356,other,river_cl,,,N,437.6
479198,7225094,other,river_cl,,,N,437.3
470377,7214426,other,river_cl,,,N,437.1
482439,7396953,other,river_cl,,,N,437.0
498048,7402123,other,river_cl,,,N,437.0
468495,7641267,other,river_cl,,,N,437.0
469531,7213647,other,river_cl,,,N,436.8
472455,7214306,other,river_cl,,,N,436.7
469858,7214075,other,river_cl,Cooleys Stream,Cooleys Stream,N,436.6
470406,7214460,other,river_cl,,,N,436.6
472445,7214294,other,river_cl,,,N,436.5
481151,7213534,other,river_cl,Duck Creek,Duck Creek,N,436.5
470011,7213696,other,river_cl,,,N,436.1
470013,7213701,other,river_cl,,,N,436.1
469127,7396249,other,river_cl,,,N,436.0
469756,7213638,other,river_cl,,,N,436.0
469901,7396871,other,river_cl,Black Stream,Black Stream,N,435.6
468769,7212344,other,river_cl,,,N,435.5
20895,6786368,other,drain_cl,,,N,435.3
470199,8171197,other,river_cl,Horokiri Stream,Horokiri Stream,N,435.1
482435,7396949,other,river_cl,,,N,434.7
481381,7213879,other,river_cl,Horokiri Stream,Horokiri Stream,N,434.7
472429,7214276,other,river_cl,,,N,434.6
472623,7214721,other,river_cl,Puffer Creek,Puffer Creek,N,434.3
469496,7396578,other,river_cl,Takapu Stream,Takapu Stream,N,434.2
468671,7212255,other,river_cl,,,N,433.9
468999,7212537,other,river_cl,Scholes Creek,Scholes Creek,N,433.9
437737,7008650,other,river_cl,,,N,433.9
469418,7641449,other,river_cl,,,N,433.8
497923,7225102,other,river_cl,,,N,433.6
472852,7214897,other,river_cl,,,N,433.6
469983,7213671,other,river_cl,,,N,433.4
469297,7213135,other,river_cl,,,N,432.7
469759,7213975,other,river_cl,,,N,432.7
472431,7214196,other,river_cl,,,N,432.6
469914,7214132,other,river_cl,,,N,432.4
481094,7641517,other,river_cl,,,N,432.3
469038,7212581,other,river_cl,,,N,432.2
481123,7396602,other,river_cl,,,N,432.2
469197,7213030,other,river_cl,,,N,431.8
469484,7641728,other,river_cl,,,N,431.6
469716,7213600,other,river_cl,,,N,431.6
470425,7214483,other,river_cl,,,N,431.4
472612,7214708,other,river_cl,,,N,431.4
482584,7397189,other,river_cl,,,N,431.3
469587,7213474,other,river_cl,,,N,431.2
498055,7225369,other,river_cl,,,N,431.1
481508,7214547,other,river_cl,,,N,430.9
472796,7214902,other,river_cl,,,N,430.7
469690,7213573,other,river_cl,,,N,430.6
481064,7641702,other,river_cl,Ohariu Stream,Ohariu Stream,N,430.4
468558,7641333,other,river_cl,,,N,430.2
468835,7212420,other,river_cl,Matthews Stream,Matthews Stream,N,430.1
469521,7213425,other,river_cl,,,N,430.0
429948,7213162,other,river_cl,,,N,429.9
430466,7214173,other,river_cl,,,N,429.6
469922,7214140,other,river_cl,,,N,429.6
470060,7213741,other,river_cl,,,N,429.3
498046,7225361,other,river_cl,,,N,429.0
470110,7213794,other,river_cl,,,N,428.9
430654,6999834,other,river_cl,,,N,428.9
470494,7214548,other,river_cl,,,N,428.8
482609,7214864,other,river_cl,,,N,428.8
469625,7396623,other,river_cl,,,N,428.8
482705,7215046,other,river_cl,,,N,428.5
469870,7214085,other,river_cl,,,N,428.4
472743,7214842,other,river_cl,,,N,428.4
481440,7214356,other,river_cl,,,N,428.2
482527,7214687,other,river_cl,,,N,427.8
468942,7212448,other,river_cl,,,N,427.7
469871,7214086,other,river_cl,Cooleys Stream,Cooleys Stream,N,427.6
470531,7214587,other,river_cl,,,N,427.6
472894,7215006,other,river_cl,,,N,427.6
472781,7214882,other,river_cl,,,N,427.4
470076,7213757,other,river_cl,,,N,427.4
470342,7214397,other,river_cl,,,N,427.3
470583,7214637,other,river_cl,,,N,427.2
479112,7225015,other,river_cl,,,N,427.1
508158,7402056,other,river_cl,,,N,427.0
472756,7214860,other,river_cl,,,N,426.9
469476,7641505,other,river_cl,Porirua Stream,Porirua Stream,N,426.9
470246,7213928,other,river_cl,,,N,426.9
468756,7212250,other,river_cl,,,N,426.7
481482,7214477,other,river_cl,,,N,426.3
469729,7213617,other,river_cl,,,N,426.1
469116,7212670,other,river_cl,,,N,426.0
468740,7212323,other,river_cl,,,N,425.7
508179,7225295,other,river_cl,,,N,425.5
470496,7000284,other,river_cl,,,N,425.4
20569,6786366,other,drain_cl,,,N,425.1
468609,7641366,other,river_cl,,,N,424.9
472582,7214682,other,river_cl,,,N,424.7
497939,7225269,other,river_cl,,,N,424.7
430804,7000291,other,river_cl,,,N,424.7
470177,7396755,other,river_cl,,,N,424.6
469624,7213513,other,river_cl,,,N,424.5
469481,7641504,other,river_cl,Porirua Stream,Porirua Stream,N,424.3
472838,7214943,other,river_cl,,,N,424.2
470527,7397082,other,river_cl,,,N,424.0
508150,7225257,other,river_cl,Renata Stream,Renata Stream,N,424.0
469019,7212553,other,river_cl,Whakanui Creek,Whakanui Creek,N,424.0
470316,7214370,other,river_cl,,,N,423.9
469643,7396626,other,river_cl,,,N,423.8
432816,7000390,other,river_cl,,,N,423.7
469004,7212541,other,river_cl,,,N,423.7
430830,7214562,other,river_cl,,,N,423.6
479179,7225074,other,river_cl,,,N,423.6
480642,7641609,other,river_cl,,,N,423.5
481303,7213692,other,river_cl,,,N,423.5
470399,7214454,other,river_cl,,,N,423.1
468809,7212354,other,river_cl,Catchpool Stream,Catchpool Stream,N,423.1
469486,7641729,other,river_cl,Takapu Stream,Takapu Stream,N,422.7
469834,7214056,other,river_cl,,,N,422.6
470245,7213926,other,river_cl,,,N,422.6
468744,7396095,other,river_cl,,,N,422.2
469195,7213028,other,river_cl,,,N,422.1
469833,7214055,other,river_cl,,,N,422.0
472722,7214823,other,river_cl,,,N,422.0
469021,7212560,other,river_cl,Scholes Creek,Scholes Creek,N,421.8
469635,7213523,other,river_cl,,,N,420.8
469939,7214155,other,river_cl,,,N,420.6
469697,7213580,other,river_cl,,,N,420.6
472786,7214888,other,river_cl,,,N,420.5
480623,7641592,other,river_cl,Silver Stream,Silver Stream,N,420.4
472939,7215054,other,river_cl,,,N,420.3
470435,7214487,other,river_cl,,,N,420.1
472794,7214901,other,river_cl,,,N,419.9
497956,7225280,other,river_cl,,,N,419.8
469039,7212577,other,river_cl,,,N,419.8
20577,6786376,other,drain_cl,Black Stream,Black Stream,N,419.8
472863,7214968,other,river_cl,,,N,419.6
472737,7214839,other,river_cl,Putaputa Stream,Putaputa Stream,N,419.5
480766,7396093,other,river_cl,,,N,419.4
468585,7641344,other,river_cl,,,N,419.3
481441,7214360,other,river_cl,,,N,419.3
470087,7213770,other,river_cl,,,N,419.2
481404,7213916,other,river_cl,,,N,419.1
482657,7214945,other,river_cl,,,N,418.9
20899,6786375,other,drain_cl,,,N,418.9
468569,7641338,other,river_cl,,,N,418.8
480658,7641624,other,river_cl,Karori Stream,Karori Stream,N,418.7
480750,7396073,other,river_cl,,,N,418.6
481383,7396762,other,river_cl,,,N,418.6
